word,ko,zh_Hans,etym_zh_Hans,pron,ant,syn,etym,hypo,hyper,var
flagrant,"노골적인, 명백한",骇人听闻的；公然的；罪恶昭彰的,,/ˈfleɪɡr(ə)nt/,,"overt, obvious, evident, glaring, conspicuous","From French flagrant.
",,,
chicanery,교묘한 속임수,诡辩；诡计；欺诈,,/ʃɪˈkeɪnəri/,,"subterfuge, unscrupulousness, fraud, fraudulence, sharp practice, cheating, deception, skulduggery, dishonesty, swindling, deceitfulness, legerdemain, duplicity, duping, underhandedness, sophistry, deceit, hoodwinking","From French chicanerie (“trickery”), from chicaner.
",,,
depraved,(도덕적으로) 타락한[부패한],道德败坏的，堕落的，恶毒的,,/dɪˈpreɪvd/,,"perverted, reprobate, degenerate, debased, degraded, deviant, immoral, unprincipled, corrupted",,,,
hike,(가격경비 등의) 대폭 인상[급등],(价格、花费等的)大幅度提高，猛增；把(价格、税率等)大幅提高,,/hʌɪk/,,"trek, footslog, traipse, march, plod, tramp, trudge, journey on foot, slog","From English dialectal hyke (“to walk vigorously”), probably a Northern form of hitch, from Middle English hytchen, hichen, icchen (“to move, jerk, stir”). Cognate with Scots hyke (“to move with a jerk”), German dialectal hicken (“to hobble, walk with a limp”), Danish hinke (“to hop”). More at hick.
",,,
distaste,"불쾌감, 혐오감",厌恶，讨厌，不喜欢,,/dɪsˈteɪst/,,"disdain, disfavour","dis- +‎ taste
",,,
peruse,숙독[정독]하다,随便翻阅；浏览,,/pəˈruːz/,,"flick, browse, look, skim, glance, flip, riffle","From per- +‎ use, from either Medieval Latin (peruti, perusitare (“wear out”)) or Anglo-Norman (peruser (“use up”)), originally leading to two concurrent meanings, but only those derived from ""to examine"" survive today.
",,,
fusillade,연속 사격; 빗발치는 것,（子弹的）齐射，连发,,/ˌfjuːzɪˈleɪd/,,"barrage, burst, battery, blast, rain, stream, discharge, hail, shower, blitz, cannonade, broadside, bombardment, volley","From French fusillade, from fusiller (“shoot with a firearm”), from fusil (“rifle, gun”)
",,,
riposte,(특히 비판에 대한 기지 있는) 응수[반격],机敏的回答；巧妙的应对,,/rɪˈpɒst/,,"counter, rejoinder, retaliation, return, answer, reply, sally, response","From French riposte, taken from Italian risposta, a derivative of the verb rispondere, ""to respond"".
",,,
conjecture,추측(한 내용),推测；猜测；猜想；臆断,,/kənˈdʒɛktʃə/,,"postulation, theory, notion, speculation, hypothesis, surmise, suspicion, presumption, belief, assumption, supposition, fancy","From Old French, from Latin coniectūra (“a guess”), from coniectus, perfect passive participle of cōniciō (“throw or cast together; guess”), from con- (“together”) + iaciō (“throw, hurl”); see jet. Compare adjective, eject, inject, project, reject, subject, object, trajectory.
",,,
mercurial,변덕스러운,多变的，反覆无常的,,/məːˈkjʊərɪəl/,,"unstable, unsteady, impulsive, moody, quicksilver, giddy, mutable, fluid, whimsical, excitable, fluctuating, erratic, inconstant, inconsistent, vacillating, protean, kaleidoscopic, capricious, wavering, temperamental, ever-changing, flighty, wayward, unpredictable, variable, fickle, changeable","The annual mercury (Mercurialis annua), one of the varieties of mercurial (noun sense 1)A sample of a mercurial (noun sense 3), in this case a compound with the molecular formula Ag2HgI4An 18th-century jar used for storing mercurials (noun sense 4) in the form of pills[n 1]",,,
acumen,(일에 대한) 감각,敏锐；精明,,/ˈakjʊmən/,,"sharp-wittedness, brightness, smartness, sharpness, cleverness, awareness, shrewdness, acuity","Borrowed from Latin acūmen (“sharp point”).
",,,
fallacy,(많은 사람들이 옳다고 믿는) 틀린 생각,谬见，谬论，谬误,,/ˈfaləsi/,,"mistaken belief, delusion, deception, miscalculation, illusion, misjudgement, sophism, fantasy, untruth, misinterpretation, error, misbelief, mistaken impression, misapprehension, false notion, mistake, deceit, misconstruction, myth, inconsistency","From Middle English, from Old French fallace, from Latin fallacia (“deception, deceit”), from fallax (“deceptive, deceitful”), from fallere (“to deceive”).
",,,
intransigent,"고집스러운, 비협조적인",固执的，不妥协的，不让步的,,/ɪnˈtransɪdʒ(ə)nt/,,"unyielding, firm, obdurate, unwavering, uncooperative, unpersuadable, adamant, rigid, hard-line, tough, resolute, bull-headed, stubborn, determined, immovable, unshakeable, pig-headed, iron-willed, unrelenting, single-minded, inveterate, unmalleable, unaccommodating, hard and fast, tenacious, obstinate, inflexible, inexorable, unbending, diehard","Borrowed from French intransigeant, from Spanish intransigente, from Latin in- (“un-, not”) + trānsigēns, present participle of trānsigō (“to come to an understanding”), from trāns (“across”) +‎ agō (“to do”).
",,,
ludicrous,터무니없는,愚蠢可笑的；荒谬的,,/ˈl(j)uːdɪkrəs/,,"foolish, stupid, laughable, silly, farcical, ridiculous, inane, asinine, nonsensical, idiotic, risible, preposterous","First attested in 1619. From Latin lūdicrus, from lūdō (“play”).
",,,
articulate,(생각감정을) 분명히 표현하다[설명하다],能表达清楚的，善于表达的；口齿伶俐的，有口才的,,/ɑːˈtɪkjʊlət/,,"vocal, vivid, effective, persuasive, lucid, coherent, silver-tongued, communicative, fluent, expressive",,,,
incursion,급습,（尤指跨越边境的）侵入，侵犯,,/ɪnˈkəːʃ(ə)n/,,"advance into, foray into, thrust into, storming of, descent on, sally against, overrunning of, assault on, advance on, sally into, invasion of, raid on, sortie into, blitz on, push into","From Middle English, borrowed from Old French, from Latin incursio, incursionem.
",,,
vindictive,"앙심을 품은, 보복을 하려는",想复仇的；报复性的；怀恨在心的,,/vɪnˈdɪktɪv/,,"out for revenge, unforgiving, unrelenting, implacable, ill-disposed, avenging, grudge-bearing, resentful, acrimonious, bitter, revengeful","From Latin vindicta (“vengeance”), from vindico (“claim, vindicate”), from vindex (“defender”),  +‎ -ive.
",,,
perfunctory,형식[의무/습관]적인,草率的；马虎的；敷衍的,,/pəˈfʌŋ(k)t(ə)ri/,,desultory,"From Late Latin perfunctōrius, from the past participial stem of perfungor, perfunct- (“perform, carry through”), from per- + fungor.
",,,
allegory,"우화, 풍자",寓言；讽喻,,/ˈalɪɡ(ə)ri/,,"analogy, symbol, metaphor, emblem","From Middle English allegorie, from Old French allegorie, from Latin allegoria, from Ancient Greek ἀλληγορία (allēgoría), from ἄλλος (állos, “other”) + ἀγορεύω (agoreúō, “I speak”).
",,,
fiduciary,(자산) 신탁의,信托的；信用的,,/fɪˈdjuːʃ(ə)ri/,,,"From Latin fīdūciārius (“held in trust”), from fīdūcia (“trust”).
",,,
rebuke,"힐책[질책]하다, 꾸짖다",斥责；指责；训斥,,/rɪˈbjuːk/,,"reprove, give someone a piece of one's mind, upbraid, berate, criticize, censure, read someone the Riot Act, castigate, scold, chide, haul over the coals, admonish, remonstrate with, chastise, lambaste, pull up, take to task, reproach","From Middle English rebuken, from Anglo-Norman rebuker (“to beat back, repel”), from re- + Old French *buker, buchier, buschier (“to strike, hack down, chop”), from busche (“wood”), from Vulgar Latin buska (“wood, grove”), from Frankish *busc, *busk (“grove”), from Proto-Germanic *buskaz (“bush”); equivalent to re- +‎ bush.
",,,
sardonic,"가소롭다는 듯한, 냉소적인, 조소하는",讥讽的，冷嘲的，轻蔑的,,/sɑːˈdɒnɪk/,,satirical,"From French sardonique[1], from Latin sardonius, from Ancient Greek σαρδόνιος (sardónios), alternative form of σαρδάνιος (sardánios, “bitter or scornful laughter”), which is often cited as deriving from the Sardinian plant (Ranunculus sardous), known as either σαρδάνη (sardánē) or σαρδόνιον (sardónion). When eaten, it would cause the eater's face to contort in a look resembling scorn (generally followed by death)[2]. It might also be related to σαίρω (saírō, “I grin”).
",,,
agitate,(특히 법적·사회적 사항 등의 변경을 강력히) 주장하다[요구하다],使焦虑；使躁动不安,,/ˈadʒɪteɪt/,,"unnerve, disturb, ruffle, flurry, trouble, concern, cause anxiety to, work up, unsettle, alarm, make anxious, worry, disquiet, distress, perturb, disconcert, fluster, bother","From Middle English, from Latin agitatus, past participle of agitare (“to put in motion”), from agere (“to move”). Compare with French agiter. See act, agent.
",,,
platitude,진부한 이야기[의견],陈腔滥调；老生常谈,,/ˈplatɪtjuːd/,,"hackneyed saying, trite saying, commonplace, banal saying, old chestnut, overworked saying, banality, truism","From French platitude, from plat (“flat”), from Vulgar Latin *plattus, from Ancient Greek πλᾰτῠ́ς (platús).
",,,
rue,후회하다,对…感到懊悔；对…感到后悔；因为…感到遗憾,,/ruː/,,"be sorry about, feel apologetic about, feel remorseful about, repent of, feel remorse for","Borrowed from Anglo-Norman ruwe, from Latin rūta, from Ancient Greek ῥυτή (rhutḗ).
",,,
feigned,"거짓의, 허위의; 꾸민",假装，装作，佯装(有某种感觉或生病、疲倦等),,/feɪnd/,,,,,,
dilettante,"딜레탕트, 호사가",一知半解者；半吊子；业余爱好者,,/ˌdɪlɪˈtanteɪ/,,"potterer, tinkerer, trifler, dallier","From Italian dilettante, prop. present participle of dilettare (“to delight”), from Latin dēlectāre (“to delight”).
",,,
lackadaisical,"부주의한, 태만한",无精打采的，萎靡不振的，不热心的,,/ˌlakəˈdeɪzɪk(ə)l/,,"lukewarm, uninterested, half-hearted, unenthusiastic, indifferent, casual, lax, uncaring, relaxed, leisurely, unconcerned, blasé, insouciant, offhand, lazy","From the archaic interjection lackaday, lackadaisy.
",,,
forfend,"막다, 방지하다",防止;阻止;挡住;挡开,,/fɔːˈfɛnd/,,,"From Middle English forfenden (“to ward off, protect, prohibit”), equivalent to for- +‎ fend.
",,,
deficient,(필수적인 것이) 부족한[결핍된],缺乏的，缺少的,,/dɪˈfɪʃ(ə)nt/,,"limited, poor, wanting, insufficient, scant, inadequate, defective","From Latin deficiens, present participle of deficere (“to lack, fail, be wanting”); see defect.
",,,
novitiate,수사[수녀] 수련 기간,(修士或修女的)初学期,,/nə(ʊ)ˈvɪʃɪət/,,"test period, training, traineeship, training period, apprenticeship, initiation, trial period, probation","From Middle French novitiat, from Medieval Latin novitiatus (“a novitiate”), from Latin novicius, novitius (“a novice”), from novus (“new”).
",,,
hemistich,"(고대 영시의) 반행(半行), 불완전행(行)",半行;半行诗;诗的半句;不完全的诗行,,/ˈhɛmɪstɪk/,,,"From French hémistiche, from Latin hemistichium, from Ancient Greek ἡμιστίχιον (hēmistíkhion), from ἡμι- (hēmi-, “half”) + στίχος (stíkhos, “verse”).
",,,
ancillary,보조적인,辅助的，补充的；附属的，附加的,,/anˈsɪləri/,,"secondary, subordinate, supportive","From Latin ancillāris (“ancillary; relating to maids”), from ancilla (“maid”).
",,,
refuge,"피난(처), 피신(처), 도피(처)",避难（所）；庇护（所）；慰藉,,/ˈrɛfjuːdʒ/,,"oasis, sanctum, retreat, haven, sanctuary, place of security, bield, asylum, refuge, zoar, port in a storm, shelter, place of safety, safe haven","From Old French refuge, from Latin refugium, from re- + fugiō (“flee”). Doublet of refugium.
","nature preserve, oasis, resort, sanctum, stronghold, reservation, retreat    [WS]",place,
waver,"약하다, 약해지다, (불안정하게) 흔들리다[떨리다]",（尤指暂时地）动摇,,/ˈweɪvə/,,"tremble, twinkle, blink, quiver, glimmer, wink","From Middle English waveren, from Old Norse vafra (“to flicker”), akin to Old English wǣfre (“restless, wavering”). Related to wave.
",,,
lavatory,변기; 화장실,厕所，卫生间,,/ˈlavət(ə)ri/,,"water closet, urinal, privy, powder room, outhouse, convenience, WC, earth closet, cloakroom, public convenience, latrine, jakes, facilities","From Middle English lavatorie, from Late Latin lavatorium, from Latin lavāre (“to wash”) + -ium (forming places related to an activity). Doublet of lavatorium. As a place to pan gold, via Spanish lavadero.[1] See also lave.
",,,
forestall,미연에 방지하다,预先阻止；先发制人,,/fɔːˈstɔːl/,,"nip in the bud, get in before, ward off, fend off, foil, obstruct, anticipate, frustrate, steal a march on, avert, hinder, stave off, second-guess, prevent, intercept, get ahead of, block, impede, obviate, check, thwart, preclude",,,,
archenemy,"최대의 적, 대적(大敵); (때로 the archenemy) 사탄(Satan), 마왕, 악마(Devil).",大敌;魔王;头号敌人;死敌;主要敌人,,/ˌärCHˈenəmē/,,,"arch- (“chief, most extreme”) +‎ enemy
",,,
ephemeral,"수명이 짧은, 단명하는",短暂的，极短的；转瞬即逝的,,/ɪˈfɛm(ə)r(ə)l/,", diuturnal, eternal    [WS], perennial, persistent","impermanent, fleeting, volatile, perishable, short, seasonable (obsolete), passing, flying, brief, ephemeral, short    [WS], fugacious, evanescent, temporary, cursory, short-term, transitive, short-lived, momentary, transient, transitory, fugitive","From New Latin ephemerus, from Ancient Greek ἐφήμερος (ephḗmeros), the more common form of ἐφημέριος (ephēmérios, “of, for, or during the day, living or lasting but for a day, short-lived, temporary”), from ἐπί (epí, “on”) + ἡμέρα (hēméra, “day”).
",provisional,,"unstable, intermittent"
apostasy,"[UC] 배교(背敎), 배신(背信); 변절, 탈당",叛教；变节；脱党,,/əˈpɒstəsi/,,"abandonment of belief, recantation","From Latin apostasia, from Ancient Greek ἀποστασία (apostasía, “defection, revolt”), from ἀφίστημι (aphístēmi, “I withdraw, revolt”), from ἀπό (apó, “from”) + ἵστημι (hístēmi, “I stand”)
",,,
iconology,도상학,(艺术上的)象征手法,,/ˌʌɪkəˈnɒlədʒi/,,,"From Ancient Greek εἰκών (eikṓn, “icon”) + -logy.
",,,
autocrat,"전제 군주, 독재자",独裁者；专制者；独断专行的人；专横的人,,/ˈɔːtəkrat/,,"dictator, monocrat, tyrant, despot","Borrowed from French autocrate, itself from Ancient Greek αὐτοκρατής (autokratḗs, “sovereign”), from αὐτο- (auto-, “self”) (combinatory form of αὐτός (autós)) + κρατία (kratía, “rule”) (from κράτος (krátos, “strength, power”))
",,,
progeny,(사람·동식물의) 자손,（人或动植物的）后代，后裔,,/ˈprɒdʒəni/,,"young, children, family, brood","From Old French progenie, from Latin prōgeniēs, from prōgignō (“beget”).
",,,
rancor,"[UC] (깊은) 원한, 유감; 적의, 악의; 증오",敌意;深仇大恨;兰克;仇视;怨恨,,/ˈraNGkər/,,"virulence, malice, vengefulness, vitriol, hatred, acrimony, ill will, meanness, hate, animosity, hostility, resentment, vindictiveness, poison, venom, balefulness, perniciousness, spite, antipathy, enmity, nastiness, malevolence, malignancy","First attested in the 13th century as Middle English rancour, from Old French rancor, from Latin rancor (“rancidity, grudge, rancor”), from *ranceō (“be rotten or putrid, stink”), from which also English rancid.[1]
",,,
palliate,(병을 치료하지는 않고) 증상만 완화시키다,减轻负面影响,,/ˈpalɪeɪt/,,"diminish, assuage, soothe, dull, relieve, abate, take the edge off, mitigate, moderate, temper, decrease, blunt, soften, deaden, lessen, allay, ease","From Latin palliatus (“cloaked”) (in Late Latin the past participle of palliare (“to cover with a cloak”)), from pallium (“cloak”).
",,,
avaricious,"탐욕스러운, 욕심 많은(greedy)",贪财的;贪婪的;贪心的,记忆技巧：avaric〔e〕贪心 + ious …的 → 贪婪的，贪心的,/avəˈrɪʃəs/,,"miserly, acquisitive, materialistic, greedy, rapacious, mercenary, mean, covetous","From Old French avaricieux, from avarice, from Latin avaritia (“greed”), from avarus (“greedy”), of avere (“crave, long for”).
",,,
dexter,오른쪽의,右侧的；幸运的,,/ˈdɛkstə/,,"dextral, at three o'clock","Borrowed from Latin dexter, from Proto-Indo-European *deḱs(i)-tero-, from *deḱs- (“right”) (Pokorny, Watkins, 1969; et al.). Compare Epic Greek δεξιτερός (dexiterós, “right hand”), δεξιός (dexiós, “right”), Old Church Slavonic деснъ (desnŭ, “right”).
",,,
reimburse,배상[변제]하다,偿还；付还；补偿,,/ˌriːɪmˈbəːs/,", default","imburse, reprise (obsolete), guerdon, settle up with, compensate    [WS], recompense, square accounts with, reimburse, repay, refund","1610s, re- (“back”) +‎ imburse (“pay”) (imburse (literally “put in a purse”), circa 1530, now obsolete), from Middle French embourser, from Old French en- (“in”) + borser (“to get money”), from borse (“purse”), from Medieval Latin bursa (English purse).[1]
",,"pay    [WS], compensate    [WS]",
atrophy,(혈액 부족으로 인한 신체 부위의) 위축(증),（身体部位）萎缩；衰退,,/ˈatrəfi/,,"shrivel up, wither, become emaciated, waste, shrivel, become shrunken, dry up, wilt, decay, shrink","Borrowed from French atrophie, from Latin atrophia, from Ancient Greek ἀτροφία (atrophía, “a wasting away”), from ἄτροφος (átrophos, “ill-fed, un-nourished”), from ἀ- (a-, “not”) + τροφή (trophḗ, “nourishment”), from τρέφω (tréphō, “I fatten”).
",,,
hapless,"불운한, 불행한",不幸运的；不愉快的,,/ˈhapləs/,,"cursed, jinxed, out of luck, ill-starred, luckless, unlucky, ill-fated, doomed","From about 1400, from hap (“luck”) +‎ -less.
",,,
pertinent,(특정한 상황에) 적절한[관련 있는],有关的，直接相关的,,/ˈpəːtɪnənt/,", irrelevant    [WS]","to the purpose, on-topic, appropriate, on point, material    [WS] (legal), applicable, pertinent, to the point, suitable, fit, apt, to the point (idiomatic), in point, felicitous, salient, germane, apropos, apposite, relevant, material, fitting","Borrowed from French pertinent, from Latin pertinens, present participle of pertinere (“to extend, stretch out, belong, relate, pertain, have concern”), from per (“through”) + tenere (“to hold”).
",,connected    [WS],
incision,(특히 외과 수술 중의) 절개,（尤指手术的）切口,,/ɪnˈsɪʒ(ə)n/,,"slit, opening","From Old French incision, from Late Latin incisio from the verb incidō (“I cut into”) + action noun suffix -iō.
",,,
trenchant,정곡을 찌르는,（批评或意见）尖锐的，尖刻的，犀利的,,/ˈtrɛn(t)ʃ(ə)nt/,,"piercing, penetrating, razor-edged, acute, sharp, keen, pointed, razor-sharp, cutting, rapier-like","From Old French, from the present participle of trenchier (“to cut”).
",,,
raucous,"요란하고 거친, 시끌벅적한",（声音）刺耳的，尖厉的,,/ˈrɔːkəs/,,"strident, squawking, inharmonious, screeching, dissonant, sharp, discordant, unmelodious, brassy, grating, squawky, jarring","Borrowed from Latin raucus (“hoarse, husky, raucous”).
",,,
​​agnostic,불가지론자,不可知论者; 不可知论的,,/aɡˈnɒstɪk/,,,,,,
incumbent,(공적인 직위의) 재임자,现任的；在职的,,/ɪnˈkʌmb(ə)nt/,,"compulsory, required, imperative, requisite, mandatory, essential, necessary, obligatory","From Middle English, from stem incumbent-, of Medieval Latin incumbēns (“holder of a church position”), from Latin present participle of incumbō (“I lie down upon”).
",,,
credo,신조,信条；信念；教义,,/ˈkriːdəʊ/,,"aphorism, notion, standard, ethic, belief, axiom, truism, attitude, golden rule, dogma, guideline, formula, canon, creed, criterion, tenet, dictum, code, motto, law, rule, credo, maxim","Borrowed from Latin crēdō (“I believe”); see creed.
",,,
equivocate,"얼버무리다, 모호하게 말하다",（尤指为隐瞒真相而）说模棱两可的话，含糊其词,,/ɪˈkwɪvəkeɪt/,,"be ambiguous, be evasive, hedge one's bets, be vague, be non-committal, dodge the issue, hedge, evade the issue, beat about the bush, fudge the issue","From Medieval Latin aequivocātus, perfect passive participle of aequivocō (“I am called by the same name”), from Late Latin aequivocus (“ambiguous, equivocal”): compare French équivoquer. See equivocal.
",,,
fallacious,"잘못된, 틀린",错误的，谬误的,,/fəˈleɪʃəs/,,"delusory, specious, distorted, incorrect, fictitious, mistaken, faulty, wrong, trumped up, false, deceptive, inexact, sophistic, made up, spurious, misguided, misinformed, delusive, inaccurate, illusory, flawed, imprecise, misleading, untrue, fabricated","fallacy +‎ -ous.
",,,
refractory,"다루기 힘든, (행실이) 불량한",不应的，难治的,,/rɪˈfrakt(ə)ri/,,"intransigent, unyielding, mulish, perverse, stubborn as a mule, obdurate, unpersuadable, bull-headed, headstrong, self-willed, disobedient, stubborn, obstreperous, contrary, rebellious, pig-headed, wilful, stiff-necked, intractable, unmalleable, recalcitrant, mutinous, wayward, insubordinate, unmanageable, defiant, ungovernable","From Latin refractārius (“obstinate”), from refractus, past participle of refringere (“to break up”). Originally refractary, refractarie, but reanalysed after other adjectives in -ory.
",,,
foreshadow,"전조가 되다, 조짐을 나타내다",是…的预兆，预示,,/fɔːˈʃadəʊ/,,"foretell, suggest, presage, forewarn, promise, foreshow, portend, prognosticate, signal, indicate, anticipate, herald, warn of, point to","From fore- +‎ shadow.
",,,
herbivorous,초식성(草食性)의(cf. CARNIVOROUS),食草的,记忆技巧：herbi〔= herb 草〕+ vor 吃 + ous 有…性质的，关于…的 → 食草的,/həːˈbɪv(ə)rəs/,,,"From New Latin herbivorus, from Latin herba (“grass”) and -vorus, from vorō (“I eat”).
",,,
unctuous,(말·행동이) 번지르르한,谄媚的；虚情假意的,,/ˈʌŋ(k)tjʊəs/,,"waxy, greasy, flattering, butyraceous, ingratiating, saponaceous, smooth-spoken, saccharine, insincere, lardaceous, urbane, honey-tongued, hypocritical, self-abasing, pinguid, Uriah Heepish, fawning, grovelling, effusive, oily, smooth, glib, adipose, gushing, silver-tongued, subservient, fatty, cringing, toadying, humble, adulatory, crawling, servile, slippery, smooth-talking, sebaceous, unctuous, slick, suave, soapy, oleaginous, obsequious, smooth-tongued, wheedling, cajoling, unguinous","Borrowed from Medieval Latin unctuōsus (“oily”), from Latin unctum, from unguere, ungere (“to anoint”).
","slippery    [WS], dirty    [WS], messy, slimy",,
ignominy,"불명예, 수치",耻辱，侮辱,,/ˈɪɡnəmɪni/,,"humiliation, mortification, embarrassment","Borrowed from French ignominie, from Latin ignōminia, from ig- (“not”) + nomen (“name”) (prefix assimilated form of in-).
",,,
opaque,불투명한,不透明的；不透光的,,/ə(ʊ)ˈpeɪk/,", transparent    [WS], translucent    [WS], turbid","opacular (obsolete), cloudy, blurred, dingy, smeared, thick, hazy, muddy, muddied, grimy, smeary, filmy, misty, opacous (obsolete), opaque, adiaphanous, dirty, nontransparent","From Middle English opake, from Latin opacus (“shaded, shady, dark”) (of unknown origin), later reinforced from Middle French opaque. Doublet of ubac.
",,,
belligerent,"적대적인, 공격적인",好斗的；挑衅的,,/bəˈlɪdʒ(ə)r(ə)nt/,,"disputatious, confrontational, bellicose, truculent, quarrelsome, pugnacious, argumentative, militant, combative, antagonistic, threatening, aggressive, contentious","From Latin belligerans (“waging war”), present active participle of belligerō (“I wage war”), from belliger (“waging war, warlike”), from bellum (“war”) + -ger (from gerō (“I lead, wage, carry on”)).
",,,
alias,"…라는 가명으로 알려진, 일명 …라 불리는",又名，亦名；化名为,,/ˈeɪlɪəs/,,"otherwise known as, otherwise, aka, also called","From Latin alias (“at another time; (in the post-Augustan period) at another time or place, elsewhere, under other circumstances, otherwise”), feminine accusative plural of alius (“other”). See else and alien.
",,,
equanimity,"(특히 힘든 상황에서의) 침착, 평정",（尤指处于震惊、失望或困境时的）镇静，沉着，冷静,,/ˌɛkwəˈnɪmɪti/,,"level-headedness, self-possession, coolness, self-control, cool-headedness, calm, presence of mind, calmness, even-temperedness","From French équanimité, from Latin aequanimitās (“calmness, equanimity”), from aequus (“even; calm; fair”) + animus (“mind, soul”) + -itās. Surface analysis is equ- +‎ animus +‎ -ity.
",,,
labyrinth,미로,迷宫；曲径,,/ˈlab(ə)rɪnθ/,,"warren, entanglement, coil, network, complex, web","Borrowed from Latin labyrinthus, from Ancient Greek λαβύρινθος (labúrinthos, “maze”).
",,,
perhaps,"아마, 어쩌면",或许，可能,,/pəˈhaps/,,"it may be, it is possible that, possibly, it could be, for all I know, it could be that, for all you know, it is possible, it may be that, feasibly, conceivably","Alteration (via plural -s or adverbial -s) of earlier perhap, equivalent to per +‎ hap (“chance, coincidence”).
",,,
apostle,사도(예수 열두 제자 중 한 사람),（信仰或政治运动的）宣导者，鼓吹者，先驱,,/əˈpɒs(ə)l/,,"evangelist, spreader of the word, teacher, evangelical, proselytizer, spreader of the faith, preacher","Borrowed from Late Latin apostolus, from Ancient Greek ἀπόστολος (apóstolos, “one sent forth, apostle”).
",,,
affix,"부착하다, 붙이다",使固定；附上；黏上；贴上,,/əˈfɪks/,,"connect, stick, secure, couple, bind, post, fix, fasten, join","Borrowed from Latin affixus, perfect passive participle of affigere (from ad- + figere).
",,,
precipice,벼랑,悬崖，峭壁,,/ˈprɛsɪpɪs/,,"sheer drop, bluff, scarp, crag, steep cliff, escarp, scar, rock face, height, escarpment, cliff","First attested in 1598, from Middle French precipice, from Latin praecipitium (“a steep place”), from praeceps (“steep”), from prae + caput (“head”). First meaning of the noun is recorded from 1632.
",,,
microcosm,"소우주, (더 큰 것의) 축소판",缩影；微观世界,,/ˈmʌɪkrə(ʊ)kɒz(ə)m/,,,"From French microcosme, from Latin microcosmus, from Ancient Greek μικρός (mikrós, “small”) + κόσμος (kósmos, “world”); micro- +‎ -cosm
",,,
