word,ko,zh_Hans,etym_zh_Hans,pron,ant,syn,etym,pof,en,var
flagrant,"노골적인, 명백한",骇人听闻的；公然的；罪恶昭彰的,,/ˈfleɪɡr(ə)nt/,,"glaring, obvious, overt, evident, conspicuous","From French flagrant.
",[ADJ],"You can use flagrant to describe an action, situation, or someone's behaviour that you find extremely bad or shocking in a very obvious way.",
chicanery,교묘한 속임수,诡辩；诡计；欺诈,,/ʃɪˈkeɪnəri/,,"deception, deceit, deceitfulness, duplicity, dishonesty, unscrupulousness, underhandedness, subterfuge, fraud, fraudulence, legerdemain, sophistry, sharp practice, skulduggery, swindling, cheating, duping, hoodwinking","From French chicanerie (“trickery”), from chicaner.
",[NOUN],Chicanery is using cleverness to cheat people.,
depraved,(도덕적으로) 타락한[부패한],道德败坏的，堕落的，恶毒的,,/dɪˈpreɪvd/,,"corrupted, perverted, deviant, degenerate, debased, degraded, immoral, unprincipled, reprobate",,[ADJ],"Depraved actions, things, or people are morally bad or evil.",
hike,(가격경비 등의) 대폭 인상[급등],(价格、花费等的)大幅度提高，猛增；把(价格、税率等)大幅提高,,/hʌɪk/,,"trek, tramp, trudge, traipse, slog, footslog, plod, march, journey on foot","From English dialectal hyke (“to walk vigorously”), probably a Northern form of hitch, from Middle English hytchen, hichen, icchen (“to move, jerk, stir”). Cognate with Scots hyke (“to move with a jerk”), German dialectal hicken (“to hobble, walk with a limp”), Danish hinke (“to hop”). More at hick.
",[NOUN],"A hike is a long walk in the country, especially one that you go on for pleasure.",
distaste,"불쾌감, 혐오감",厌恶，讨厌，不喜欢,,/dɪsˈteɪst/,,"disfavour, disdain","dis- +‎ taste
",[NOUN],"If you feel distaste for someone or something, you dislike them and consider them to be unpleasant, disgusting, or immoral.",
peruse,숙독[정독]하다,随便翻阅；浏览,,/pəˈruːz/,,"flick, flip, skim, browse, glance, look, riffle","From per- +‎ use, from either Medieval Latin (peruti, perusitare (“wear out”)) or Anglo-Norman (peruser (“use up”)), originally leading to two concurrent meanings, but only those derived from ""to examine"" survive today.
",[VERB],"If you peruse something such as a letter, article, or document, you read it.",
fusillade,연속 사격; 빗발치는 것,（子弹的）齐射，连发,,/ˌfjuːzɪˈleɪd/,,"volley, barrage, bombardment, cannonade, battery, burst, blast, hail, shower, rain, stream, broadside, blitz, discharge","From French fusillade, from fusiller (“shoot with a firearm”), from fusil (“rifle, gun”)
",[NOUN],A fusillade of shots or objects is a large number of them fired or thrown at the same time.,
riposte,(특히 비판에 대한 기지 있는) 응수[반격],机敏的回答；巧妙的应对,,/rɪˈpɒst/,,"counter, rejoinder, sally, return, retaliation, answer, reply, response","From French riposte, taken from Italian risposta, a derivative of the verb rispondere, ""to respond"".
",[NOUN],"A riposte is a quick, clever reply to something that someone has said.",
conjecture,추측(한 내용),推测；猜测；猜想；臆断,,/kənˈdʒɛktʃə/,,"speculation, surmise, fancy, notion, belief, suspicion, presumption, assumption, theory, hypothesis, postulation, supposition","From Old French, from Latin coniectūra (“a guess”), from coniectus, perfect passive participle of cōniciō (“throw or cast together; guess”), from con- (“together”) + iaciō (“throw, hurl”); see jet. Compare adjective, eject, inject, project, reject, subject, object, trajectory.
",[NOUN],A conjecture is a conclusion that is based on information that is not certain or complete.,
mercurial,변덕스러운,多变的，反覆无常的,,/məːˈkjʊərɪəl/,,"capricious, temperamental, excitable, fickle, changeable, unpredictable, variable, protean, mutable, erratic, quicksilver, inconstant, inconsistent, unstable, unsteady, fluctuating, ever-changing, kaleidoscopic, fluid, wavering, vacillating, moody, flighty, wayward, whimsical, giddy, impulsive","The annual mercury (Mercurialis annua), one of the varieties of mercurial (noun sense 1)A sample of a mercurial (noun sense 3), in this case a compound with the molecular formula Ag2HgI4An 18th-century jar used for storing mercurials (noun sense 4) in the form of pills[n 1]",[ADJ],"If you describe someone as mercurial, you mean that they frequently change their mind or mood without warning.",
acumen,(일에 대한) 감각,敏锐；精明,,/ˈakjʊmən/,,"awareness, shrewdness, acuity, sharpness, sharp-wittedness, cleverness, brightness, smartness","Borrowed from Latin acūmen (“sharp point”).
",[NOUN],Acumen is the ability to make good judgments and quick decisions.,
fallacy,(많은 사람들이 옳다고 믿는) 틀린 생각,谬见，谬论，谬误,,/ˈfaləsi/,,"mistaken belief, misbelief, delusion, false notion, mistaken impression, misapprehension, misjudgement, miscalculation, misinterpretation, misconstruction, error, mistake, untruth, inconsistency, illusion, myth, fantasy, deceit, deception, sophism","From Middle English, from Old French fallace, from Latin fallacia (“deception, deceit”), from fallax (“deceptive, deceitful”), from fallere (“to deceive”).
",[NOUN],"A fallacy is an idea which many people believe to be true, but which is in fact false because it is based on incorrect information or reasoning.",
intransigent,"고집스러운, 비협조적인",固执的，不妥协的，不让步的,,/ɪnˈtransɪdʒ(ə)nt/,,"inflexible, unbending, unyielding, unshakeable, unwavering, resolute, unpersuadable, unmalleable, unaccommodating, uncooperative, stubborn, obstinate, obdurate, pig-headed, bull-headed, single-minded, iron-willed, hard-line, hard and fast, diehard, immovable, unrelenting, inexorable, inveterate, rigid, tough, firm, determined, adamant, tenacious","Borrowed from French intransigeant, from Spanish intransigente, from Latin in- (“un-, not”) + trānsigēns, present participle of trānsigō (“to come to an understanding”), from trāns (“across”) +‎ agō (“to do”).
",[ADJ],"If you describe someone as intransigent, you mean that they refuse to behave differently or to change their attitude to something.",
ludicrous,터무니없는,愚蠢可笑的；荒谬的,,/ˈl(j)uːdɪkrəs/,,"ridiculous, farcical, laughable, risible, preposterous, foolish, idiotic, stupid, inane, silly, asinine, nonsensical","First attested in 1619. From Latin lūdicrus, from lūdō (“play”).
",[ADJ],"If you describe something as ludicrous, you are emphasizing that you think it is foolish, unreasonable, or unsuitable.",
articulate,(생각감정을) 분명히 표현하다[설명하다],能表达清楚的，善于表达的；口齿伶俐的，有口才的,,/ɑːˈtɪkjʊlət/,,"fluent, communicative, effective, persuasive, coherent, lucid, vivid, expressive, silver-tongued, vocal",,[ADJ],"If you describe someone as articulate, you mean that they are able to express their thoughts and ideas easily and well.",
incursion,급습,（尤指跨越边境的）侵入，侵犯,,/ɪnˈkəːʃ(ə)n/,,"assault on, raid on, invasion of, storming of, overrunning of, foray into, blitz on, sortie into, sally against, sally into, advance into, advance on, push into, thrust into, descent on","From Middle English, borrowed from Old French, from Latin incursio, incursionem.
",[NOUN],"If there is an incursion into a country, enemy soldiers suddenly enter it.",
vindictive,"앙심을 품은, 보복을 하려는",想复仇的；报复性的；怀恨在心的,,/vɪnˈdɪktɪv/,,"out for revenge, revengeful, avenging, unforgiving, grudge-bearing, resentful, ill-disposed, implacable, unrelenting, acrimonious, bitter","From Latin vindicta (“vengeance”), from vindico (“claim, vindicate”), from vindex (“defender”),  +‎ -ive.
",[ADJ],"If you say that someone is vindictive, you are critical of them because they deliberately try to upset or cause trouble for someone who they think has done them harm.",
perfunctory,형식[의무/습관]적인,草率的；马虎的；敷衍的,,/pəˈfʌŋ(k)t(ə)ri/,,desultory,"From Late Latin perfunctōrius, from the past participial stem of perfungor, perfunct- (“perform, carry through”), from per- + fungor.
",[ADJ],"A perfunctory action is done quickly and carelessly, and shows a lack of interest in what you are doing.",
allegory,"우화, 풍자",寓言；讽喻,,/ˈalɪɡ(ə)ri/,,"analogy, metaphor, symbol, emblem","From Middle English allegorie, from Old French allegorie, from Latin allegoria, from Ancient Greek ἀλληγορία (allēgoría), from ἄλλος (állos, “other”) + ἀγορεύω (agoreúō, “I speak”).
",[NOUN],"An allegory is a story, poem, or painting in which the characters and events are symbols of something else. Allegories are often moral, religious, or political.",
fiduciary,(자산) 신탁의,信托的；信用的,,/fɪˈdjuːʃ(ə)ri/,,,"From Latin fīdūciārius (“held in trust”), from fīdūcia (“trust”).
",[ADJ],"Fiduciary is used to talk about things which relate to a trust, or to the people who are in charge of a trust.",
rebuke,"힐책[질책]하다, 꾸짖다",斥责；指责；训斥,,/rɪˈbjuːk/,,"reproach, scold, admonish, reprove, remonstrate with, chastise, chide, upbraid, berate, take to task, pull up, castigate, lambaste, read someone the Riot Act, give someone a piece of one's mind, haul over the coals, criticize, censure","From Middle English rebuken, from Anglo-Norman rebuker (“to beat back, repel”), from re- + Old French *buker, buchier, buschier (“to strike, hack down, chop”), from busche (“wood”), from Vulgar Latin buska (“wood, grove”), from Frankish *busc, *busk (“grove”), from Proto-Germanic *buskaz (“bush”); equivalent to re- +‎ bush.
",[VERB],"If you rebuke someone, you speak severely to them because they have said or done something that you do not approve of.",
sardonic,"가소롭다는 듯한, 냉소적인, 조소하는",讥讽的，冷嘲的，轻蔑的,,/sɑːˈdɒnɪk/,,satirical,"From French sardonique[1], from Latin sardonius, from Ancient Greek σαρδόνιος (sardónios), alternative form of σαρδάνιος (sardánios, “bitter or scornful laughter”), which is often cited as deriving from the Sardinian plant (Ranunculus sardous), known as either σαρδάνη (sardánē) or σαρδόνιον (sardónion). When eaten, it would cause the eater's face to contort in a look resembling scorn (generally followed by death)[2]. It might also be related to σαίρω (saírō, “I grin”).
",[ADJ],"If you describe someone as sardonic, you mean their attitude to people or things is humorous but rather critical.",
agitate,(특히 법적·사회적 사항 등의 변경을 강력히) 주장하다[요구하다],使焦虑；使躁动不安,,/ˈadʒɪteɪt/,,"perturb, fluster, ruffle, disconcert, unnerve, disquiet, disturb, distress, unsettle, bother, concern, trouble, cause anxiety to, make anxious, alarm, work up, flurry, worry","From Middle English, from Latin agitatus, past participle of agitare (“to put in motion”), from agere (“to move”). Compare with French agiter. See act, agent.
",[VERB],"If people agitate for something, they protest or take part in political activity in order to get it.",
platitude,진부한 이야기[의견],陈腔滥调；老生常谈,,/ˈplatɪtjuːd/,,"truism, commonplace, banal saying, hackneyed saying, overworked saying, trite saying, banality, old chestnut","From French platitude, from plat (“flat”), from Vulgar Latin *plattus, from Ancient Greek πλᾰτῠ́ς (platús).
",[NOUN],A platitude is a statement which is considered meaningless and boring because it has been made many times before in similar situations.,
rue,후회하다,对…感到懊悔；对…感到后悔；因为…感到遗憾,,/ruː/,,"be sorry about, feel apologetic about, feel remorseful about, feel remorse for, repent of","Borrowed from Anglo-Norman ruwe, from Latin rūta, from Ancient Greek ῥυτή (rhutḗ).
",[VERB],"If you rue something that you have done, you are sorry that you did it, because it has had unpleasant results.",
feigned,"거짓의, 허위의; 꾸민",假装，装作，佯装(有某种感觉或生病、疲倦等),,/feɪnd/,,,,[VERB],"If someone feigns a particular feeling, attitude, or physical condition, they try to make other people think that they have it or are experiencing it, although this is not true.",
dilettante,"딜레탕트, 호사가",一知半解者；半吊子；业余爱好者,,/ˌdɪlɪˈtanteɪ/,,"potterer, tinkerer, trifler, dallier","From Italian dilettante, prop. present participle of dilettare (“to delight”), from Latin dēlectāre (“to delight”).
",[NOUN],"You can use dilettante to talk about someone who seems interested in a subject, especially in art, but who does not really know very much about it.",
lackadaisical,"부주의한, 태만한",无精打采的，萎靡不振的，不热心的,,/ˌlakəˈdeɪzɪk(ə)l/,,"lazy, lax, unenthusiastic, half-hearted, uninterested, lukewarm, indifferent, uncaring, unconcerned, casual, offhand, blasé, insouciant, leisurely, relaxed","From the archaic interjection lackaday, lackadaisy.
",[ADJ],"If you say that someone is lackadaisical, you mean that they are rather lazy and do not show much interest or enthusiasm in what they do.",
forfend,"막다, 방지하다",防止;阻止;挡住;挡开,,/fɔːˈfɛnd/,,,"From Middle English forfenden (“to ward off, protect, prohibit”), equivalent to for- +‎ fend.
",[VERB],to protect or secure,
deficient,(필수적인 것이) 부족한[결핍된],缺乏的，缺少的,,/dɪˈfɪʃ(ə)nt/,,"wanting, defective, inadequate, insufficient, limited, poor, scant","From Latin deficiens, present participle of deficere (“to lack, fail, be wanting”); see defect.
",[ADJ],"If someone or something is deficient in a particular thing, they do not have the full amount of it that they need in order to function normally or work properly.",
novitiate,수사[수녀] 수련 기간,(修士或修女的)初学期,,/nə(ʊ)ˈvɪʃɪət/,,"probation, trial period, test period, apprenticeship, training period, traineeship, training, initiation","From Middle French novitiat, from Medieval Latin novitiatus (“a novitiate”), from Latin novicius, novitius (“a novice”), from novus (“new”).
",[NOUN],"the state of being a novice, esp in a religious order, or the period for which this lasts",
hemistich,"(고대 영시의) 반행(半行), 불완전행(行)",半行;半行诗;诗的半句;不完全的诗行,,/ˈhɛmɪstɪk/,,,"From French hémistiche, from Latin hemistichium, from Ancient Greek ἡμιστίχιον (hēmistíkhion), from ἡμι- (hēmi-, “half”) + στίχος (stíkhos, “verse”).
",[NOUN],a half line of verse,
ancillary,보조적인,辅助的，补充的；附属的，附加的,,/anˈsɪləri/,,"subordinate, secondary, supportive","From Latin ancillāris (“ancillary; relating to maids”), from ancilla (“maid”).
",[ADJ],The ancillary workers in an institution are the people such as cleaners and cooks whose work supports the main work of the institution.,
refuge,"피난(처), 피신(처), 도피(처)",避难（所）；庇护（所）；慰藉,,/ˈrɛfjuːdʒ/,,"haven, safe haven, shelter, sanctuary, retreat, asylum, place of safety, place of security, port in a storm, oasis, sanctum","From Old French refuge, from Latin refugium, from re- + fugiō (“flee”). Doublet of refugium.
",[NOUN],"If you take refuge somewhere, you try to protect yourself from physical harm by going there.",
waver,"약하다, 약해지다, (불안정하게) 흔들리다[떨리다]",（尤指暂时地）动摇,,/ˈweɪvə/,,"quiver, tremble, twinkle, glimmer, wink, blink","From Middle English waveren, from Old Norse vafra (“to flicker”), akin to Old English wǣfre (“restless, wavering”). Related to wave.
",[VERB],"If you waver, you cannot decide about something or you consider changing your mind about something.",
lavatory,변기; 화장실,厕所，卫生间,,/ˈlavət(ə)ri/,,"WC, water closet, convenience, public convenience, cloakroom, facilities, powder room, urinal, privy, latrine, outhouse, earth closet, jakes","From Middle English lavatorie, from Late Latin lavatorium, from Latin lavāre (“to wash”) + -ium (forming places related to an activity). Doublet of lavatorium. As a place to pan gold, via Spanish lavadero.[1] See also lave.
",[NOUN],A lavatory is the same as a toilet.,
forestall,미연에 방지하다,预先阻止；先发制人,,/fɔːˈstɔːl/,,"get in before, get ahead of, steal a march on, anticipate, second-guess, nip in the bud, thwart, frustrate, foil, stave off, ward off, fend off, avert, preclude, obviate, prevent, intercept, check, block, hinder, impede, obstruct",,[VERB],"If you forestall someone, you realize what they are likely to do and prevent them from doing it.",
archenemy,"최대의 적, 대적(大敵); (때로 the archenemy) 사탄(Satan), 마왕, 악마(Devil).",大敌;魔王;头号敌人;死敌;主要敌人,,/ˌärCHˈenəmē/,,,"arch- (“chief, most extreme”) +‎ enemy
",[NOUN],a chief enemy,
ephemeral,"수명이 짧은, 단명하는",短暂的，极短的；转瞬即逝的,,/ɪˈfɛm(ə)r(ə)l/,,"transient, fleeting, passing, short-lived, momentary, brief, short, cursory, temporary, impermanent, short-term","From New Latin ephemerus, from Ancient Greek ἐφήμερος (ephḗmeros), the more common form of ἐφημέριος (ephēmérios, “of, for, or during the day, living or lasting but for a day, short-lived, temporary”), from ἐπί (epí, “on”) + ἡμέρα (hēméra, “day”).
",[ADJ],"If you describe something as ephemeral, you mean that it lasts only for a very short time.","unstable, intermittent"
apostasy,"[UC] 배교(背敎), 배신(背信); 변절, 탈당",叛教；变节；脱党,,/əˈpɒstəsi/,,"abandonment of belief, recantation","From Latin apostasia, from Ancient Greek ἀποστασία (apostasía, “defection, revolt”), from ἀφίστημι (aphístēmi, “I withdraw, revolt”), from ἀπό (apó, “from”) + ἵστημι (hístēmi, “I stand”)
",[NOUN],"If someone is accused of apostasy, they are accused of abandoning their religious faith, political loyalties, or principles.",
iconology,도상학,(艺术上的)象征手法,,/ˌʌɪkəˈnɒlədʒi/,,,"From Ancient Greek εἰκών (eikṓn, “icon”) + -logy.
",[NOUN],the study or field of art history concerning icons,
autocrat,"전제 군주, 독재자",独裁者；专制者；独断专行的人；专横的人,,/ˈɔːtəkrat/,,"dictator, despot, tyrant, monocrat","Borrowed from French autocrate, itself from Ancient Greek αὐτοκρατής (autokratḗs, “sovereign”), from αὐτο- (auto-, “self”) (combinatory form of αὐτός (autós)) + κρατία (kratía, “rule”) (from κράτος (krátos, “strength, power”))
",[NOUN],An autocrat is a person in authority who has complete power.,
progeny,(사람·동식물의) 자손,（人或动植物的）后代，后裔,,/ˈprɒdʒəni/,,"children, young, family, brood","From Old French progenie, from Latin prōgeniēs, from prōgignō (“beget”).
",[NOUN],You can refer to a person's children or to an animal's young as their progeny.,
rancor,"[UC] (깊은) 원한, 유감; 적의, 악의; 증오",敌意;深仇大恨;兰克;仇视;怨恨,,/ˈraNGkər/,,"spite, hate, hatred, resentment, malice, ill will, malevolence, malignancy, animosity, antipathy, enmity, hostility, acrimony, venom, poison, vindictiveness, balefulness, vengefulness, vitriol, virulence, perniciousness, meanness, nastiness","First attested in the 13th century as Middle English rancour, from Old French rancor, from Latin rancor (“rancidity, grudge, rancor”), from *ranceō (“be rotten or putrid, stink”), from which also English rancid.[1]
",[etc.],→ see rancour,
palliate,(병을 치료하지는 않고) 증상만 완화시키다,减轻负面影响,,/ˈpalɪeɪt/,,"ease, relieve, soothe, take the edge off, assuage, allay, dull, soften, lessen, moderate, temper, mitigate, diminish, decrease, blunt, deaden, abate","From Latin palliatus (“cloaked”) (in Late Latin the past participle of palliare (“to cover with a cloak”)), from pallium (“cloak”).
",[VERB],"to lessen the severity of (pain, disease, etc) without curing or removing; alleviate; mitigate",
avaricious,"탐욕스러운, 욕심 많은(greedy)",贪财的;贪婪的;贪心的,记忆技巧：avaric〔e〕贪心 + ious …的 → 贪婪的，贪心的,/avəˈrɪʃəs/,,"acquisitive, covetous, greedy, rapacious, mercenary, materialistic, mean, miserly","From Old French avaricieux, from avarice, from Latin avaritia (“greed”), from avarus (“greedy”), of avere (“crave, long for”).
",[ADJ],An avaricious person is very greedy for money or possessions.,
dexter,오른쪽의,右侧的；幸运的,,/ˈdɛkstə/,,"dextral, at three o'clock","Borrowed from Latin dexter, from Proto-Indo-European *deḱs(i)-tero-, from *deḱs- (“right”) (Pokorny, Watkins, 1969; et al.). Compare Epic Greek δεξιτερός (dexiterós, “right hand”), δεξιός (dexiós, “right”), Old Church Slavonic деснъ (desnŭ, “right”).
",[ADJ],of or located on the right side,
reimburse,배상[변제]하다,偿还；付还；补偿,,/ˌriːɪmˈbəːs/,,"recompense, refund, repay, square accounts with, settle up with","1610s, re- (“back”) +‎ imburse (“pay”) (imburse (literally “put in a purse”), circa 1530, now obsolete), from Middle French embourser, from Old French en- (“in”) + borser (“to get money”), from borse (“purse”), from Medieval Latin bursa (English purse).[1]
",[VERB],"If you reimburse someone for something, you pay them back the money that they have spent or lost because of it.",
atrophy,(혈액 부족으로 인한 신체 부위의) 위축(증),（身体部位）萎缩；衰退,,/ˈatrəfi/,,"waste, become emaciated, wither, shrivel, shrivel up, shrink, become shrunken, dry up, decay, wilt","Borrowed from French atrophie, from Latin atrophia, from Ancient Greek ἀτροφία (atrophía, “a wasting away”), from ἄτροφος (átrophos, “ill-fed, un-nourished”), from ἀ- (a-, “not”) + τροφή (trophḗ, “nourishment”), from τρέφω (tréphō, “I fatten”).
",[VERB],"If a muscle or other part of the body atrophies, it decreases in size or strength, often as a result of an illness.",
hapless,"불운한, 불행한",不幸运的；不愉快的,,/ˈhapləs/,,"unlucky, luckless, out of luck, ill-starred, ill-fated, jinxed, cursed, doomed","From about 1400, from hap (“luck”) +‎ -less.
",[ADJ],A hapless person is unlucky.,
pertinent,(특정한 상황에) 적절한[관련 있는],有关的，直接相关的,,/ˈpəːtɪnənt/,,"to the point, apposite, appropriate, suitable, fitting, fit, apt, applicable, material, germane, to the purpose, apropos","Borrowed from French pertinent, from Latin pertinens, present participle of pertinere (“to extend, stretch out, belong, relate, pertain, have concern”), from per (“through”) + tenere (“to hold”).
",[ADJ],Something that is pertinent is relevant to a particular subject.,
incision,(특히 외과 수술 중의) 절개,（尤指手术的）切口,,/ɪnˈsɪʒ(ə)n/,,"opening, slit","From Old French incision, from Late Latin incisio from the verb incidō (“I cut into”) + action noun suffix -iō.
",[NOUN],"An incision is a sharp cut made in something, for example by a surgeon who is operating on a patient.",
trenchant,정곡을 찌르는,（批评或意见）尖锐的，尖刻的，犀利的,,/ˈtrɛn(t)ʃ(ə)nt/,,"cutting, pointed, piercing, penetrating, sharp, keen, acute, razor-sharp, razor-edged, rapier-like","From Old French, from the present participle of trenchier (“to cut”).
",[ADJ],"You can use trenchant to describe something such as a criticism or comment that is very clear, effective, and forceful.",
raucous,"요란하고 거친, 시끌벅적한",（声音）刺耳的，尖厉的,,/ˈrɔːkəs/,,"strident, screeching, squawky, squawking, sharp, grating, discordant, dissonant, inharmonious, unmelodious, jarring, brassy","Borrowed from Latin raucus (“hoarse, husky, raucous”).
",[ADJ],"A raucous sound is loud, harsh, and rather unpleasant.",
​​agnostic,불가지론자,不可知论者; 不可知论的,,/aɡˈnɒstɪk/,,,,[NOUN],An agnostic believes that it is not possible to know whether God exists or not. Compare atheist.,
incumbent,(공적인 직위의) 재임자,现任的；在职的,,/ɪnˈkʌmb(ə)nt/,,"obligatory, mandatory, necessary, compulsory, required, requisite, essential, imperative","From Middle English, from stem incumbent-, of Medieval Latin incumbēns (“holder of a church position”), from Latin present participle of incumbō (“I lie down upon”).
",[NOUN],An incumbent is someone who holds an official post at a particular time.,
credo,신조,信条；信念；教义,,/ˈkriːdəʊ/,,"belief, creed, credo, attitude, rule, golden rule, guideline, formula, standard, criterion, tenet, truism, code, ethic, maxim, motto, axiom, aphorism, notion, dictum, dogma, canon, law","Borrowed from Latin crēdō (“I believe”); see creed.
",[NOUN],"A credo is a set of beliefs, principles, or opinions that strongly influence the way a person lives or works.",
equivocate,"얼버무리다, 모호하게 말하다",（尤指为隐瞒真相而）说模棱两可的话，含糊其词,,/ɪˈkwɪvəkeɪt/,,"be evasive, be non-committal, be vague, be ambiguous, dodge the issue, evade the issue, beat about the bush, hedge, hedge one's bets, fudge the issue","From Medieval Latin aequivocātus, perfect passive participle of aequivocō (“I am called by the same name”), from Late Latin aequivocus (“ambiguous, equivocal”): compare French équivoquer. See equivocal.
",[VERB],"When someone equivocates, they deliberately use vague language in order to deceive people or to avoid speaking the truth.",
fallacious,"잘못된, 틀린",错误的，谬误的,,/fəˈleɪʃəs/,,"false, untrue, wrong, incorrect, faulty, flawed, inaccurate, inexact, imprecise, mistaken, misinformed, misguided, misleading, deceptive, delusive, delusory, illusory, sophistic, specious, fictitious, spurious, fabricated, distorted, made up, trumped up","fallacy +‎ -ous.
",[ADJ],"If an idea, argument, or reason is fallacious, it is wrong because it is based on a fallacy.",
refractory,"다루기 힘든, (행실이) 불량한",不应的，难治的,,/rɪˈfrakt(ə)ri/,,"stubborn, stubborn as a mule, mulish, bull-headed, pig-headed, obdurate, headstrong, self-willed, wayward, wilful, perverse, contrary, recalcitrant, obstreperous, disobedient, insubordinate, rebellious, mutinous, defiant, stiff-necked, intractable, intransigent, unyielding, unmalleable, unmanageable, ungovernable, unpersuadable","From Latin refractārius (“obstinate”), from refractus, past participle of refringere (“to break up”). Originally refractary, refractarie, but reanalysed after other adjectives in -ory.
",[ADJ],"Refractory people are difficult to deal with or control, for example because they are unwilling to obey orders.",
foreshadow,"전조가 되다, 조짐을 나타내다",是…的预兆，预示,,/fɔːˈʃadəʊ/,,"presage, portend, prognosticate, foreshow, foretell, indicate, suggest, signal, herald, forewarn, warn of, promise, point to, anticipate","From fore- +‎ shadow.
",[VERB],"If something foreshadows an event or situation, it suggests that it will happen.",
herbivorous,초식성(草食性)의(cf. CARNIVOROUS),食草的,记忆技巧：herbi〔= herb 草〕+ vor 吃 + ous 有…性质的，关于…的 → 食草的,/həːˈbɪv(ə)rəs/,,,"From New Latin herbivorus, from Latin herba (“grass”) and -vorus, from vorō (“I eat”).
",[ADJ],(of animals) feeding on grass and other plants,
