word,ko,zh_Hans,etym_zh_Hans,pron,ant,syn,etym,hypo,hyper,var
vindictive,"앙심을 품은, 보복을 하려는",想复仇的；报复性的；怀恨在心的,,/vɪnˈdɪktɪv/,,"out for revenge, revengeful, avenging, unforgiving, grudge-bearing, resentful, ill-disposed, implacable, unrelenting, acrimonious, bitter","From Latin vindicta (“vengeance”), from vindico (“claim, vindicate”), from vindex (“defender”),  +‎ -ive.
",,,
perfunctory,형식[의무/습관]적인,草率的；马虎的；敷衍的,,/pəˈfʌŋ(k)t(ə)ri/,,desultory,"From Late Latin perfunctōrius, from the past participial stem of perfungor, perfunct- (“perform, carry through”), from per- + fungor.
",,,
allegory,"우화, 풍자",寓言；讽喻,,/ˈalɪɡ(ə)ri/,,"analogy, metaphor, symbol, emblem","From Middle English allegorie, from Old French allegorie, from Latin allegoria, from Ancient Greek ἀλληγορία (allēgoría), from ἄλλος (állos, “other”) + ἀγορεύω (agoreúō, “I speak”).
",,,
fiduciary,(자산) 신탁의,信托的；信用的,,/fɪˈdjuːʃ(ə)ri/,,,"From Latin fīdūciārius (“held in trust”), from fīdūcia (“trust”).
",,,
rebuke,"힐책[질책]하다, 꾸짖다",斥责；指责；训斥,,/rɪˈbjuːk/,,"reproach, scold, admonish, reprove, remonstrate with, chastise, chide, upbraid, berate, take to task, pull up, castigate, lambaste, read someone the Riot Act, give someone a piece of one's mind, haul over the coals, criticize, censure","From Middle English rebuken, from Anglo-Norman rebuker (“to beat back, repel”), from re- + Old French *buker, buchier, buschier (“to strike, hack down, chop”), from busche (“wood”), from Vulgar Latin buska (“wood, grove”), from Frankish *busc, *busk (“grove”), from Proto-Germanic *buskaz (“bush”); equivalent to re- +‎ bush.
",,,
sardonic,"가소롭다는 듯한, 냉소적인, 조소하는",讥讽的，冷嘲的，轻蔑的,,/sɑːˈdɒnɪk/,,satirical,"From French sardonique[1], from Latin sardonius, from Ancient Greek σαρδόνιος (sardónios), alternative form of σαρδάνιος (sardánios, “bitter or scornful laughter”), which is often cited as deriving from the Sardinian plant (Ranunculus sardous), known as either σαρδάνη (sardánē) or σαρδόνιον (sardónion). When eaten, it would cause the eater's face to contort in a look resembling scorn (generally followed by death)[2]. It might also be related to σαίρω (saírō, “I grin”).
",,,
agitate,(특히 법적·사회적 사항 등의 변경을 강력히) 주장하다[요구하다],使焦虑；使躁动不安,,/ˈadʒɪteɪt/,,"perturb, fluster, ruffle, disconcert, unnerve, disquiet, disturb, distress, unsettle, bother, concern, trouble, cause anxiety to, make anxious, alarm, work up, flurry, worry","From Middle English, from Latin agitatus, past participle of agitare (“to put in motion”), from agere (“to move”). Compare with French agiter. See act, agent.
",,,
platitude,진부한 이야기[의견],陈腔滥调；老生常谈,,/ˈplatɪtjuːd/,,"truism, commonplace, banal saying, hackneyed saying, overworked saying, trite saying, banality, old chestnut","From French platitude, from plat (“flat”), from Vulgar Latin *plattus, from Ancient Greek πλᾰτῠ́ς (platús).
",,,
rue,후회하다,对…感到懊悔；对…感到后悔；因为…感到遗憾,,/ruː/,,"be sorry about, feel apologetic about, feel remorseful about, feel remorse for, repent of","Borrowed from Anglo-Norman ruwe, from Latin rūta, from Ancient Greek ῥυτή (rhutḗ).
",,,
feigned,"거짓의, 허위의; 꾸민",假装，装作，佯装(有某种感觉或生病、疲倦等),,/feɪnd/,,,,,,
dilettante,"딜레탕트, 호사가",一知半解者；半吊子；业余爱好者,,/ˌdɪlɪˈtanteɪ/,,"potterer, tinkerer, trifler, dallier","From Italian dilettante, prop. present participle of dilettare (“to delight”), from Latin dēlectāre (“to delight”).
",,,
lackadaisical,"부주의한, 태만한",无精打采的，萎靡不振的，不热心的,,/ˌlakəˈdeɪzɪk(ə)l/,,"lazy, lax, unenthusiastic, half-hearted, uninterested, lukewarm, indifferent, uncaring, unconcerned, casual, offhand, blasé, insouciant, leisurely, relaxed","From the archaic interjection lackaday, lackadaisy.
",,,
forfend,"막다, 방지하다",防止;阻止;挡住;挡开,,/fɔːˈfɛnd/,,,"From Middle English forfenden (“to ward off, protect, prohibit”), equivalent to for- +‎ fend.
",,,
deficient,(필수적인 것이) 부족한[결핍된],缺乏的，缺少的,,/dɪˈfɪʃ(ə)nt/,,"wanting, defective, inadequate, insufficient, limited, poor, scant","From Latin deficiens, present participle of deficere (“to lack, fail, be wanting”); see defect.
",,,
novitiate,수사[수녀] 수련 기간,(修士或修女的)初学期,,/nə(ʊ)ˈvɪʃɪət/,,"probation, trial period, test period, apprenticeship, training period, traineeship, training, initiation","From Middle French novitiat, from Medieval Latin novitiatus (“a novitiate”), from Latin novicius, novitius (“a novice”), from novus (“new”).
",,,
hemistich,"(고대 영시의) 반행(半行), 불완전행(行)",半行;半行诗;诗的半句;不完全的诗行,,/ˈhɛmɪstɪk/,,,"From French hémistiche, from Latin hemistichium, from Ancient Greek ἡμιστίχιον (hēmistíkhion), from ἡμι- (hēmi-, “half”) + στίχος (stíkhos, “verse”).
",,,
ancillary,보조적인,辅助的，补充的；附属的，附加的,,/anˈsɪləri/,,"subordinate, secondary, supportive","From Latin ancillāris (“ancillary; relating to maids”), from ancilla (“maid”).
",,,
refuge,"피난(처), 피신(처), 도피(처)",避难（所）；庇护（所）；慰藉,,/ˈrɛfjuːdʒ/,,"sanctum, haven, place of security, zoar, sanctuary, shelter, safe haven, oasis, asylum, place of safety, bield, port in a storm, refuge, retreat","From Old French refuge, from Latin refugium, from re- + fugiō (“flee”). Doublet of refugium.
","nature preserve, oasis, reservation, resort, retreat    [WS], sanctum, stronghold",,
waver,"약하다, 약해지다, (불안정하게) 흔들리다[떨리다]",（尤指暂时地）动摇,,/ˈweɪvə/,,"quiver, tremble, twinkle, glimmer, wink, blink","From Middle English waveren, from Old Norse vafra (“to flicker”), akin to Old English wǣfre (“restless, wavering”). Related to wave.
",,,
lavatory,변기; 화장실,厕所，卫生间,,/ˈlavət(ə)ri/,,"WC, water closet, convenience, public convenience, cloakroom, facilities, powder room, urinal, privy, latrine, outhouse, earth closet, jakes","From Middle English lavatorie, from Late Latin lavatorium, from Latin lavāre (“to wash”) + -ium (forming places related to an activity). Doublet of lavatorium. As a place to pan gold, via Spanish lavadero.[1] See also lave.
",,,
forestall,미연에 방지하다,预先阻止；先发制人,,/fɔːˈstɔːl/,,"get in before, get ahead of, steal a march on, anticipate, second-guess, nip in the bud, thwart, frustrate, foil, stave off, ward off, fend off, avert, preclude, obviate, prevent, intercept, check, block, hinder, impede, obstruct",,,,
archenemy,"최대의 적, 대적(大敵); (때로 the archenemy) 사탄(Satan), 마왕, 악마(Devil).",大敌;魔王;头号敌人;死敌;主要敌人,,/ˌärCHˈenəmē/,,,"arch- (“chief, most extreme”) +‎ enemy
",,,
ephemeral,"수명이 짧은, 단명하는",短暂的，极短的；转瞬即逝的,,/ɪˈfɛm(ə)r(ə)l/,", eternal    [WS], diuturnal, perennial, persistent","cursory, momentary, brief, flying, transitive, transient, short, volatile, seasonable (obsolete), fugacious, impermanent, temporary, short-term, short-lived, transitory, evanescent, short    [WS], fugitive, passing, ephemeral, fleeting, perishable","From New Latin ephemerus, from Ancient Greek ἐφήμερος (ephḗmeros), the more common form of ἐφημέριος (ephēmérios, “of, for, or during the day, living or lasting but for a day, short-lived, temporary”), from ἐπί (epí, “on”) + ἡμέρα (hēméra, “day”).
",provisional,,
apostasy,"[UC] 배교(背敎), 배신(背信); 변절, 탈당",叛教；变节；脱党,,/əˈpɒstəsi/,,"abandonment of belief, recantation","From Latin apostasia, from Ancient Greek ἀποστασία (apostasía, “defection, revolt”), from ἀφίστημι (aphístēmi, “I withdraw, revolt”), from ἀπό (apó, “from”) + ἵστημι (hístēmi, “I stand”)
",,,
iconology,도상학,(艺术上的)象征手法,,/ˌʌɪkəˈnɒlədʒi/,,,"From Ancient Greek εἰκών (eikṓn, “icon”) + -logy.
",,,
autocrat,"전제 군주, 독재자",独裁者；专制者；独断专行的人；专横的人,,/ˈɔːtəkrat/,,"dictator, despot, tyrant, monocrat","Borrowed from French autocrate, itself from Ancient Greek αὐτοκρατής (autokratḗs, “sovereign”), from αὐτο- (auto-, “self”) (combinatory form of αὐτός (autós)) + κρατία (kratía, “rule”) (from κράτος (krátos, “strength, power”))
",,,
progeny,(사람·동식물의) 자손,（人或动植物的）后代，后裔,,/ˈprɒdʒəni/,,"children, young, family, brood","From Old French progenie, from Latin prōgeniēs, from prōgignō (“beget”).
",,,
rancor,"[UC] (깊은) 원한, 유감; 적의, 악의; 증오",敌意;深仇大恨;兰克;仇视;怨恨,,/ˈraNGkər/,,"spite, hate, hatred, resentment, malice, ill will, malevolence, malignancy, animosity, antipathy, enmity, hostility, acrimony, venom, poison, vindictiveness, balefulness, vengefulness, vitriol, virulence, perniciousness, meanness, nastiness","First attested in the 13th century as Middle English rancour, from Old French rancor, from Latin rancor (“rancidity, grudge, rancor”), from *ranceō (“be rotten or putrid, stink”), from which also English rancid.[1]
",,,
palliate,(병을 치료하지는 않고) 증상만 완화시키다,减轻负面影响,,/ˈpalɪeɪt/,,"ease, relieve, soothe, take the edge off, assuage, allay, dull, soften, lessen, moderate, temper, mitigate, diminish, decrease, blunt, deaden, abate","From Latin palliatus (“cloaked”) (in Late Latin the past participle of palliare (“to cover with a cloak”)), from pallium (“cloak”).
",,,
avaricious,"탐욕스러운, 욕심 많은(greedy)",贪财的;贪婪的;贪心的,记忆技巧：avaric〔e〕贪心 + ious …的 → 贪婪的，贪心的,/avəˈrɪʃəs/,,"acquisitive, covetous, greedy, rapacious, mercenary, materialistic, mean, miserly","From Old French avaricieux, from avarice, from Latin avaritia (“greed”), from avarus (“greedy”), of avere (“crave, long for”).
",,,
dexter,오른쪽의,右侧的；幸运的,,/ˈdɛkstə/,,"dextral, at three o'clock","Borrowed from Latin dexter, from Proto-Indo-European *deḱs(i)-tero-, from *deḱs- (“right”) (Pokorny, Watkins, 1969; et al.). Compare Epic Greek δεξιτερός (dexiterós, “right hand”), δεξιός (dexiós, “right”), Old Church Slavonic деснъ (desnŭ, “right”).
",,,
reimburse,배상[변제]하다,偿还；付还；补偿,,/ˌriːɪmˈbəːs/,", default","imburse, compensate    [WS], reprise (obsolete), recompense, settle up with, reimburse, repay, refund, guerdon, square accounts with","1610s, re- (“back”) +‎ imburse (“pay”) (imburse (literally “put in a purse”), circa 1530, now obsolete), from Middle French embourser, from Old French en- (“in”) + borser (“to get money”), from borse (“purse”), from Medieval Latin bursa (English purse).[1]
",,,
atrophy,(혈액 부족으로 인한 신체 부위의) 위축(증),（身体部位）萎缩；衰退,,/ˈatrəfi/,,"waste, become emaciated, wither, shrivel, shrivel up, shrink, become shrunken, dry up, decay, wilt","Borrowed from French atrophie, from Latin atrophia, from Ancient Greek ἀτροφία (atrophía, “a wasting away”), from ἄτροφος (átrophos, “ill-fed, un-nourished”), from ἀ- (a-, “not”) + τροφή (trophḗ, “nourishment”), from τρέφω (tréphō, “I fatten”).
",,,
hapless,"불운한, 불행한",不幸运的；不愉快的,,/ˈhapləs/,,"unlucky, luckless, out of luck, ill-starred, ill-fated, jinxed, cursed, doomed","From about 1400, from hap (“luck”) +‎ -less.
",,,
pertinent,(특정한 상황에) 적절한[관련 있는],有关的，直接相关的,,/ˈpəːtɪnənt/,", irrelevant    [WS]","germane, applicable, appropriate, apposite, apropos, pertinent, relevant, material    [WS] (legal), to the point (idiomatic), on-topic, to the point, suitable, salient, to the purpose, in point, fit, apt, on point, fitting, felicitous, material","Borrowed from French pertinent, from Latin pertinens, present participle of pertinere (“to extend, stretch out, belong, relate, pertain, have concern”), from per (“through”) + tenere (“to hold”).
",,,
incision,(특히 외과 수술 중의) 절개,（尤指手术的）切口,,/ɪnˈsɪʒ(ə)n/,,"opening, slit","From Old French incision, from Late Latin incisio from the verb incidō (“I cut into”) + action noun suffix -iō.
",,,
trenchant,정곡을 찌르는,（批评或意见）尖锐的，尖刻的，犀利的,,/ˈtrɛn(t)ʃ(ə)nt/,,"cutting, pointed, piercing, penetrating, sharp, keen, acute, razor-sharp, razor-edged, rapier-like","From Old French, from the present participle of trenchier (“to cut”).
",,,
raucous,"요란하고 거친, 시끌벅적한",（声音）刺耳的，尖厉的,,/ˈrɔːkəs/,,"strident, screeching, squawky, squawking, sharp, grating, discordant, dissonant, inharmonious, unmelodious, jarring, brassy","Borrowed from Latin raucus (“hoarse, husky, raucous”).
",,,
​​agnostic,불가지론자,不可知论者; 不可知论的,,/aɡˈnɒstɪk/,,,,,,
incumbent,(공적인 직위의) 재임자,现任的；在职的,,/ɪnˈkʌmb(ə)nt/,,"obligatory, mandatory, necessary, compulsory, required, requisite, essential, imperative","From Middle English, from stem incumbent-, of Medieval Latin incumbēns (“holder of a church position”), from Latin present participle of incumbō (“I lie down upon”).
",,,
credo,신조,信条；信念；教义,,/ˈkriːdəʊ/,,"belief, creed, credo, attitude, rule, golden rule, guideline, formula, standard, criterion, tenet, truism, code, ethic, maxim, motto, axiom, aphorism, notion, dictum, dogma, canon, law","Borrowed from Latin crēdō (“I believe”); see creed.
",,,
equivocate,"얼버무리다, 모호하게 말하다",（尤指为隐瞒真相而）说模棱两可的话，含糊其词,,/ɪˈkwɪvəkeɪt/,,"be evasive, be non-committal, be vague, be ambiguous, dodge the issue, evade the issue, beat about the bush, hedge, hedge one's bets, fudge the issue","From Medieval Latin aequivocātus, perfect passive participle of aequivocō (“I am called by the same name”), from Late Latin aequivocus (“ambiguous, equivocal”): compare French équivoquer. See equivocal.
",,,
fallacious,"잘못된, 틀린",错误的，谬误的,,/fəˈleɪʃəs/,,"false, untrue, wrong, incorrect, faulty, flawed, inaccurate, inexact, imprecise, mistaken, misinformed, misguided, misleading, deceptive, delusive, delusory, illusory, sophistic, specious, fictitious, spurious, fabricated, distorted, made up, trumped up","fallacy +‎ -ous.
",,,
refractory,"다루기 힘든, (행실이) 불량한",不应的，难治的,,/rɪˈfrakt(ə)ri/,,"stubborn, stubborn as a mule, mulish, bull-headed, pig-headed, obdurate, headstrong, self-willed, wayward, wilful, perverse, contrary, recalcitrant, obstreperous, disobedient, insubordinate, rebellious, mutinous, defiant, stiff-necked, intractable, intransigent, unyielding, unmalleable, unmanageable, ungovernable, unpersuadable","From Latin refractārius (“obstinate”), from refractus, past participle of refringere (“to break up”). Originally refractary, refractarie, but reanalysed after other adjectives in -ory.
",,,
foreshadow,"전조가 되다, 조짐을 나타내다",是…的预兆，预示,,/fɔːˈʃadəʊ/,,"presage, portend, prognosticate, foreshow, foretell, indicate, suggest, signal, herald, forewarn, warn of, promise, point to, anticipate","From fore- +‎ shadow.
",,,
herbivorous,초식성(草食性)의(cf. CARNIVOROUS),食草的,记忆技巧：herbi〔= herb 草〕+ vor 吃 + ous 有…性质的，关于…的 → 食草的,/həːˈbɪv(ə)rəs/,,,"From New Latin herbivorus, from Latin herba (“grass”) and -vorus, from vorō (“I eat”).
",,,
unctuous,(말·행동이) 번지르르한,谄媚的；虚情假意的,,/ˈʌŋ(k)tjʊəs/,,"fawning, oleaginous, smooth-talking, glib, saccharine, Uriah Heepish, unguinous, waxy, effusive, silver-tongued, wheedling, grovelling, smooth, subservient, servile, humble, fatty, saponaceous, ingratiating, obsequious, self-abasing, slick, lardaceous, sebaceous, gushing, hypocritical, oily, smooth-spoken, pinguid, greasy, honey-tongued, flattering, suave, insincere, butyraceous, soapy, unctuous, cringing, toadying, crawling, cajoling, urbane, adulatory, adipose, slippery, smooth-tongued","Borrowed from Medieval Latin unctuōsus (“oily”), from Latin unctum, from unguere, ungere (“to anoint”).
","dirty    [WS], messy, slimy, slippery    [WS]",,
ignominy,"불명예, 수치",耻辱，侮辱,,/ˈɪɡnəmɪni/,,"humiliation, embarrassment, mortification","Borrowed from French ignominie, from Latin ignōminia, from ig- (“not”) + nomen (“name”) (prefix assimilated form of in-).
",,,
opaque,불투명한,不透明的；不透光的,,/ə(ʊ)ˈpeɪk/,", turbid, transparent    [WS], translucent    [WS]","smeared, hazy, opacular (obsolete), cloudy, blurred, dingy, misty, smeary, muddied, opacous (obsolete), dirty, filmy, grimy, nontransparent, opaque, muddy, adiaphanous, thick","From Middle English opake, from Latin opacus (“shaded, shady, dark”) (of unknown origin), later reinforced from Middle French opaque. Doublet of ubac.
",,,
belligerent,"적대적인, 공격적인",好斗的；挑衅的,,/bəˈlɪdʒ(ə)r(ə)nt/,,"aggressive, threatening, antagonistic, pugnacious, bellicose, truculent, confrontational, argumentative, quarrelsome, disputatious, contentious, militant, combative","From Latin belligerans (“waging war”), present active participle of belligerō (“I wage war”), from belliger (“waging war, warlike”), from bellum (“war”) + -ger (from gerō (“I lead, wage, carry on”)).
",,,
alias,"…라는 가명으로 알려진, 일명 …라 불리는",又名，亦名；化名为,,/ˈeɪlɪəs/,,"aka, also called, otherwise known as, otherwise","From Latin alias (“at another time; (in the post-Augustan period) at another time or place, elsewhere, under other circumstances, otherwise”), feminine accusative plural of alius (“other”). See else and alien.
",,,
equanimity,"(특히 힘든 상황에서의) 침착, 평정",（尤指处于震惊、失望或困境时的）镇静，沉着，冷静,,/ˌɛkwəˈnɪmɪti/,,"calmness, calm, level-headedness, self-possession, self-control, even-temperedness, coolness, cool-headedness, presence of mind","From French équanimité, from Latin aequanimitās (“calmness, equanimity”), from aequus (“even; calm; fair”) + animus (“mind, soul”) + -itās. Surface analysis is equ- +‎ animus +‎ -ity.
",,,
labyrinth,미로,迷宫；曲径,,/ˈlab(ə)rɪnθ/,,"warren, network, complex, web, coil, entanglement","Borrowed from Latin labyrinthus, from Ancient Greek λαβύρινθος (labúrinthos, “maze”).
",,,
perhaps,"아마, 어쩌면",或许，可能,,/pəˈhaps/,,"for all I know, for all you know, it could be, it could be that, it may be, it may be that, it is possible, it is possible that, possibly, conceivably, feasibly","Alteration (via plural -s or adverbial -s) of earlier perhap, equivalent to per +‎ hap (“chance, coincidence”).
",,,
apostle,사도(예수 열두 제자 중 한 사람),（信仰或政治运动的）宣导者，鼓吹者，先驱,,/əˈpɒs(ə)l/,,"evangelist, evangelical, proselytizer, spreader of the faith, spreader of the word, preacher, teacher","Borrowed from Late Latin apostolus, from Ancient Greek ἀπόστολος (apóstolos, “one sent forth, apostle”).
",,,
affix,"부착하다, 붙이다",使固定；附上；黏上；贴上,,/əˈfɪks/,,"stick, fasten, bind, fix, post, secure, join, connect, couple","Borrowed from Latin affixus, perfect passive participle of affigere (from ad- + figere).
",,,
precipice,벼랑,悬崖，峭壁,,/ˈprɛsɪpɪs/,,"steep cliff, rock face, sheer drop, cliff, crag, bluff, height, escarpment, scarp, escarp, scar","First attested in 1598, from Middle French precipice, from Latin praecipitium (“a steep place”), from praeceps (“steep”), from prae + caput (“head”). First meaning of the noun is recorded from 1632.
",,,
microcosm,"소우주, (더 큰 것의) 축소판",缩影；微观世界,,/ˈmʌɪkrə(ʊ)kɒz(ə)m/,,,"From French microcosme, from Latin microcosmus, from Ancient Greek μικρός (mikrós, “small”) + κόσμος (kósmos, “world”); micro- +‎ -cosm
",,,
